doubling every two days;doubling every 4 days;doubling every 10 days;Italy;US;Spain;Germany;Korea, South;date
100.0;100.0;100.0;155.0;107.0;120.0;117.0;104.0;0
141.4213562373095;118.9207115002721;107.17734625362931;229.0;184.0;165.0;150.0;204.0;1
200.0;141.4213562373095;114.86983549970351;322.0;237.0;222.0;188.0;433.0;2
282.842712474619;168.1792830507429;123.11444133449163;453.0;403.0;259.0;240.0;602.0;3
400.0;200.0;131.9507910772894;655.0;519.0;400.0;349.0;833.0;4
565.685424949238;237.8414230005442;141.4213562373095;888.0;594.0;500.0;534.0;977.0;5
800.0;282.842712474619;151.5716566510398;1128.0;782.0;673.0;684.0;1261.0;6
1131.370849898476;336.3585661014858;162.4504792712471;1694.0;1147.0;1073.0;847.0;1766.0;7
1600.0;400.0;174.11011265922482;2036.0;1586.0;1695.0;1112.0;2337.0;8
2262.741699796952;475.6828460010884;186.60659830736148;2502.0;2219.0;2277.0;1296.0;3150.0;9
3200.0;565.685424949238;200.0;3089.0;2978.0;2277.0;1567.0;3736.0;10
4525.483399593904;672.7171322029716;214.35469250725862;3858.0;3212.0;5232.0;2369.0;4335.0;11
6400.0;800.0;229.73967099940697;4636.0;4679.0;6391.0;3062.0;5186.0;12
9050.966799187809;951.3656920021768;246.22888266898326;5883.0;6512.0;7798.0;3795.0;5621.0;13
12800.0;1131.370849898476;263.9015821545788;7375.0;9169.0;9942.0;4838.0;6088.0;14
18101.933598375617;1345.4342644059432;282.842712474619;9172.0;13663.0;11748.0;6012.0;6593.0;15
25600.0;1600.0;303.14331330207966;10149.0;20030.0;13910.0;7156.0;7041.0;16
36203.867196751235;1902.7313840043537;324.9009585424942;12462.0;26025.0;17963.0;8198.0;7314.0;17
51200.0;2262.741699796952;348.22022531844965;15113.0;34944.0;20410.0;10999.0;7478.0;18
72407.73439350247;2690.8685288118863;373.21319661472296;17660.0;46096.0;25374.0;13957.0;7513.0;19
102400.0;3200.0;400.0;21157.0;56714.0;28768.0;16662.0;7755.0;20
144815.46878700494;3805.4627680087074;428.70938501451724;24747.0;68841.0;35136.0;18610.0;7869.0;21
204800.0;4525.483399593904;459.47934199881405;27980.0;86662.0;39885.0;22672.0;7979.0;22
289630.9375740099;5381.737057623773;492.4577653379664;31506.0;105253.0;49515.0;27436.0;8086.0;23
409600.0;6400.0;527.8031643091576;35713.0;127417.0;57786.0;31554.0;8162.0;24
579261.8751480198;7610.925536017415;565.685424949238;41035.0;143544.0;65719.0;36508.0;8236.0;25
819200.0;9050.966799187809;606.2866266041593;47021.0;165698.0;73235.0;42288.0;8320.0;26
1158523.7502960395;10763.474115247545;649.8019170849884;53578.0;192079.0;80110.0;48582.0;8413.0;27
1638400.0;12800.0;696.4404506368992;59138.0;223254.0;87956.0;52547.0;8565.0;28
2317047.500592079;15221.85107203483;746.4263932294459;63927.0;255530.0;95923.0;57298.0;8652.0;29
3276800.0;18101.933598375617;800.0;69176.0;287931.0;104118.0;61913.0;8799.0;30
4634095.001184158;21526.94823049509;857.4187700290345;74386.0;319776.0;112065.0;67366.0;8961.0;31
6553600.0;25600.0;918.9586839976281;80589.0;349016.0;119199.0;73522.0;8961.0;32
9268190.002368316;30443.70214406966;984.9155306759328;86498.0;380798.0;126168.0;79696.0;9037.0;33
;;;92472.0;410834.0;131646.0;85778.0;9137.0;34
;;;97689.0;441897.0;136675.0;91714.0;9241.0;35
;;;101739.0;477507.0;141942.0;95391.0;9332.0;36
;;;105792.0;511790.0;148220.0;99225.0;9478.0;37
;;;110574.0;540714.0;153222.0;103228.0;9583.0;38
;;;115242.0;567022.0;158273.0;108202.0;9661.0;39
;;;119827.0;594165.0;163027.0;113525.0;9786.0;40
;;;124632.0;622493.0;166831.0;117658.0;9887.0;41
;;;128948.0;648390.0;170099.0;120479.0;9976.0;42
;;;132547.0;678028.0;172541.0;123016.0;10062.0;43
;;;135586.0;711135.0;177644.0;125098.0;10156.0;44
;;;139422.0;738464.0;184948.0;127584.0;10237.0;45
;;;143626.0;763886.0;190839.0;130450.0;10284.0;46
